target,rule,rule_string,coverage,errors
democrat,"[('el-salvador-aid', 'n'), ('water-project-cost-sharing', 'y'), ('adoption-of-the-budget-resolution', 'n')]",IF (el-salvador-aid=n) AND (water-project-cost-sharing=y) AND (adoption-of-the-budget-resolution=n),6,0
democrat,"[('synfuels-corporation-cutback', 'y'), ('superfund-right-to-sue', 'abstain')]",IF (synfuels-corporation-cutback=y) AND (superfund-right-to-sue=abstain),5,0
democrat,"[('physician-fee-freeze', 'n'), ('anti-satellite-test-ban', 'abstain')]",IF (physician-fee-freeze=n) AND (anti-satellite-test-ban=abstain),5,0
republican,"[('physician-fee-freeze', 'y'), ('crime', 'abstain')]",IF (physician-fee-freeze=y) AND (crime=abstain),5,0
democrat,"[('physician-fee-freeze', 'abstain'), ('synfuels-corporation-cutback', 'y')]",IF (physician-fee-freeze=abstain) AND (synfuels-corporation-cutback=y),4,0
republican,"[('physician-fee-freeze', 'y'), ('anti-satellite-test-ban', 'abstain')]",IF (physician-fee-freeze=y) AND (anti-satellite-test-ban=abstain),4,0
democrat,"[('handicapped-infants', 'abstain'), ('mx-missile', 'y')]",IF (handicapped-infants=abstain) AND (mx-missile=y),4,0
democrat,"[('synfuels-corporation-cutback', 'y'), ('adoption-of-the-budget-resolution', 'abstain')]",IF (synfuels-corporation-cutback=y) AND (adoption-of-the-budget-resolution=abstain),3,0
republican,"[('immigration', 'abstain'), ('mx-missile', 'abstain')]",IF (immigration=abstain) AND (mx-missile=abstain),3,0
republican,"[('export-administration-act-south-africa', 'n'), ('water-project-cost-sharing', 'n'), ('handicapped-infants', 'y'), ('physician-fee-freeze', 'y')]",IF (export-administration-act-south-africa=n) AND (water-project-cost-sharing=n) AND (handicapped-infants=y) AND (physician-fee-freeze=y),3,0
democrat,"[('synfuels-corporation-cutback', 'y'), ('export-administration-act-south-africa', 'n'), ('handicapped-infants', 'n')]",IF (synfuels-corporation-cutback=y) AND (export-administration-act-south-africa=n) AND (handicapped-infants=n),2,0
democrat,"[('superfund-right-to-sue', 'abstain'), ('education-spending', 'n'), ('adoption-of-the-budget-resolution', 'n')]",IF (superfund-right-to-sue=abstain) AND (education-spending=n) AND (adoption-of-the-budget-resolution=n),1,0
republican,"[('physician-fee-freeze', 'y'), ('el-salvador-aid', 'abstain')]",IF (physician-fee-freeze=y) AND (el-salvador-aid=abstain),1,0
